Province_State,Admin2,Lat,Long_,Date,Confirmed,Deaths,Daily_Confirmed,Daily_Deaths
Washington,King,47.49137892,-121.8346131,2020-01-22,1,0,0.0,0.0
Washington,King,47.49137892,-121.8346131,2020-01-23,1,0,0.0,0.0
Illinois,Cook,41.84144849,-87.81658794,2020-01-24,1,0,1.0,0.0
Washington,King,47.49137892,-121.8346131,2020-01-24,1,0,0.0,0.0
Illinois,Cook,41.84144849,-87.81658794,2020-01-25,1,0,0.0,0.0
Washington,King,47.49137892,-121.8346131,2020-01-25,1,0,0.0,0.0
Arizona,Maricopa,33.34835867,-112.49181540000001,2020-01-26,1,0,1.0,0.0
California,Los Angeles,34.30828379,-118.22824109999999,2020-01-26,1,0,1.0,0.0
California,Orange,33.70147516,-117.76459979999998,2020-01-26,1,0,1.0,0.0
Illinois,Cook,41.84144849,-87.81658794,2020-01-26,1,0,0.0,0.0
Washington,King,47.49137892,-121.8346131,2020-01-26,1,0,0.0,0.0
Arizona,Maricopa,33.34835867,-112.49181540000001,2020-01-27,1,0,0.0,0.0
California,Los Angeles,34.30828379,-118.22824109999999,2020-01-27,1,0,0.0,0.0
California,Orange,33.70147516,-117.76459979999998,2020-01-27,1,0,0.0,0.0
Illinois,Cook,41.84144849,-87.81658794,2020-01-27,1,0,0.0,0.0
Washington,King,47.49137892,-121.8346131,2020-01-27,1,0,0.0,0.0
Arizona,Maricopa,33.34835867,-112.49181540000001,2020-01-28,1,0,0.0,0.0
California,Los Angeles,34.30828379,-118.22824109999999,2020-01-28,1,0,0.0,0.0
California,Orange,33.70147516,-117.76459979999998,2020-01-28,1,0,0.0,0.0
Illinois,Cook,41.84144849,-87.81658794,2020-01-28,1,0,0.0,0.0
Washington,King,47.49137892,-121.8346131,2020-01-28,1,0,0.0,0.0
Arizona,Maricopa,33.34835867,-112.49181540000001,2020-01-29,1,0,0.0,0.0
California,Los Angeles,34.30828379,-118.22824109999999,2020-01-29,1,0,0.0,0.0
California,Orange,33.70147516,-117.76459979999998,2020-01-29,1,0,0.0,0.0
Illinois,Cook,41.84144849,-87.81658794,2020-01-29,1,0,0.0,0.0
Washington,King,47.49137892,-121.8346131,2020-01-29,1,0,0.0,0.0
Arizona,Maricopa,33.34835867,-112.49181540000001,2020-01-30,1,0,0.0,0.0
California,Los Angeles,34.30828379,-118.22824109999999,2020-01-30,1,0,0.0,0.0
California,Orange,33.70147516,-117.76459979999998,2020-01-30,1,0,0.0,0.0
Illinois,Cook,41.84144849,-87.81658794,2020-01-30,1,0,0.0,0.0
Washington,King,47.49137892,-121.8346131,2020-01-30,1,0,0.0,0.0
Arizona,Maricopa,33.34835867,-112.49181540000001,2020-01-31,1,0,0.0,0.0
